Date,Open,High,Low,Close,Volume,Adj Close
5/1/14,128.809998,129.25,128.149994,129.059998,2655500,129.059998
5/2/14,129.449997,129.729996,127.82,128.089996,4276700,128.089996
5/5/14,127.190002,127.190002,126.080002,126.610001,3486100,126.610001
5/6/14,126.129997,126.290001,124.059998,124.669998,5381100,124.669998
5/7/14,125.400002,127.529999,125.32,127.449997,3301400,127.449997
5/8/14,127.230003,127.489998,126.330002,126.669998,2773300,126.669998
5/9/14,126.25,127.370003,125.849998,127.339996,2935600,127.339996
5/12/14,127.870003,128.240005,126.889999,127.290001,3406900,127.290001
5/13/14,127.690002,127.919998,127.059998,127.889999,2127500,127.889999
5/14/14,127.800003,128,127.510002,127.529999,2685300,127.529999
5/15/14,127.300003,127.440002,126,126.360001,3206100,126.360001
5/16/14,126.410004,126.919998,125.660004,126.860001,2897800,126.860001
5/19/14,126.769997,127.209999,126.110001,127.129997,2242400,127.129997
5/20/14,126.919998,126.940002,125.699997,126.059998,2292300,126.059998
5/21/14,126.5,126.940002,126.220001,126.660004,1917000,126.660004
5/22/14,126.949997,127.150002,126.529999,126.980003,1546600,126.980003
5/23/14,127.220001,127.32,126.309998,126.800003,1807700,126.800003
5/27/14,127.410004,127.75,127.25,127.519997,2251600,127.519997
5/28/14,127.43,127.940002,127.260002,127.459999,2211300,127.459999
5/29/14,127.419998,128.199997,127.099998,128.110001,2028900,128.110001
5/30/14,127.669998,128.5,127.620003,128.339996,2916700,128.339996
6/2/14,128.279999,128.75,127.370003,127.879997,2007200,127.879997
6/3/14,127.290001,127.68,126.610001,126.93,2445000,126.93
6/4/14,127,127.610001,126.790001,127.230003,1760000,127.230003
6/5/14,127.559998,128.220001,127.110001,128.199997,2165000,128.199997
6/6/14,128.199997,128.649994,128.080002,128.649994,2241500,128.649994
6/9/14,128.330002,128.619995,127.57,127.989998,2385200,127.989998
6/10/14,127.599998,128.300003,127.580002,128.25,2174200,128.25
6/11/14,127.860001,128.479996,127.860001,128.220001,2422300,128.220001
6/12/14,128.460007,128.589996,126.93,127.279999,2408700,127.279999
6/13/14,127.269997,127.510002,125.5,126.540001,3397900,126.540001
6/16/14,125.949997,126.339996,125.709999,126.150002,2545800,126.150002
6/17/14,126.050003,126.349998,125.599998,126.029999,2583600,126.029999
6/18/14,125.940002,127.349998,125.440002,127.169998,2925400,127.169998
6/19/14,127.559998,127.57,126.559998,127.25,2954200,127.25
6/20/14,127.43,128.100006,126.5,126.739998,6161300,126.739998
6/23/14,126.800003,126.980003,126.300003,126.669998,2768500,126.669998
6/24/14,126.349998,127.370003,126.349998,126.779999,2862500,126.779999
6/25/14,126.879997,127.349998,126.489998,127.129997,2531600,127.129997
6/26/14,127.199997,127.279999,126.059998,127.099998,2148300,127.099998
6/27/14,126.830002,127.489998,126.629997,127.32,3125300,127.32
6/30/14,127.110001,127.129997,126.379997,126.559998,2732800,126.559998
7/1/14,126.720001,127.639999,126.660004,127.239998,2885300,127.239998
7/2/14,127.080002,127.730003,126.830002,127.730003,2599700,127.730003
7/3/14,127.910004,129.389999,127.809998,129.300003,2511400,129.300003
7/7/14,129.149994,129.149994,128.169998,128.699997,2875600,128.699997
7/8/14,128.240005,129.089996,128.169998,128.220001,3052400,128.220001
7/9/14,128.490005,128.869995,128.309998,128.75,1923800,128.75
7/10/14,128,128.720001,127.610001,128.449997,2788600,128.449997
7/11/14,128.300003,128.720001,127.93,128.630005,1819800,128.630005
7/14/14,129,129.279999,128.679993,128.979996,1541600,128.979996
7/15/14,128.679993,129.169998,128,128.490005,2931200,128.490005
7/16/14,128.660004,128.75,127.879997,128.110001,2297600,128.110001
7/17/14,127.919998,128.119995,126.400002,126.519997,2834500,126.519997
7/18/14,126.910004,128.449997,126.879997,128.279999,3563500,128.279999
7/21/14,127.919998,128.75,127.620003,128.580002,1787200,128.580002
7/22/14,129,129,128.229996,128.419998,1786200,128.419998
7/23/14,128.240005,128.580002,128.050003,128.130005,1527600,128.130005
7/24/14,128.389999,128.679993,128.059998,128.350006,2241300,128.350006
7/25/14,128.020004,128.169998,127.400002,127.550003,1807700,127.550003
7/28/14,127.550003,128.449997,126.629997,128.369995,1966900,128.369995
7/29/14,128.259995,128.660004,127.360001,127.360001,2346600,127.360001
7/30/14,127.510002,128.419998,126.830002,127.739998,2066400,127.739998
7/31/14,127.239998,127.760002,125.370003,125.43,3630600,125.43
8/1/14,125,126.949997,122.720001,125.830002,3947900,125.830002
8/4/14,128.059998,130.029999,127.080002,129.720001,4876800,129.720001
8/5/14,129.699997,129.75,127.360001,127.989998,3370600,127.989998
8/6/14,127.970001,129.570007,127.510002,129.110001,2719300,129.110001
8/7/14,129.690002,129.880005,128.520004,128.949997,3443100,128.949997
8/8/14,128.800003,130.949997,128.619995,130.899994,3761100,130.899994
8/11/14,131.410004,132.800003,130.940002,131.949997,2782400,131.949997
8/12/14,132.240005,133.190002,131.660004,133.059998,2742900,133.059998
8/13/14,133.339996,133.429993,132.460007,133.080002,2850400,133.080002
8/14/14,133.229996,135.380005,133.139999,135.300003,4483400,135.300003
8/15/14,135.789993,135.800003,133.130005,134.339996,3940500,134.339996
8/18/14,135.470001,135.470001,134.679993,135.029999,2960400,135.029999
8/19/14,135.850006,135.850006,134.520004,134.899994,2284200,134.899994
8/20/14,135,135.100006,134.449997,134.910004,2329800,134.910004
8/21/14,135.240005,136.820007,135.039993,136.809998,3328000,136.809998
8/22/14,136.410004,136.600006,135.559998,135.75,2417200,135.75
8/25/14,136.429993,136.75,136.070007,136.229996,2305900,136.229996
8/26/14,136.690002,136.75,136.119995,136.25,2144700,136.25
8/27/14,136.610001,136.690002,136.009995,136.520004,1893400,136.520004
8/28/14,136.279999,136.509995,135.880005,136.110001,2114000,136.110001
8/29/14,136.179993,137.25,136.009995,137.25,2898100,137.25
9/2/14,138.029999,138.270004,137.059998,137.960007,3319300,137.960007
9/3/14,138.5,138.5,137.339996,137.729996,2789600,137.729996
9/4/14,137.970001,138.550003,137.419998,137.949997,2563100,137.949997
9/5/14,137.710007,138.350006,137.339996,138.070007,3475900,138.070007
9/8/14,138.169998,138.899994,138.050003,138.279999,2536000,138.279999
9/9/14,138.339996,138.419998,136.679993,136.889999,2959500,136.889999
9/10/14,137.270004,137.949997,137.160004,137.720001,2037900,137.720001
9/11/14,137.169998,137.970001,137,137.919998,2016900,137.919998
9/12/14,137.919998,138.179993,136.759995,137.089996,3291300,137.089996
9/15/14,137.729996,138.130005,137.009995,138.039993,2859500,138.039993
9/16/14,138,138.990005,137.610001,138.690002,2672400,138.690002
9/17/14,139.139999,140.179993,138.710007,139.610001,3833000,139.610001
9/18/14,140.25,141.570007,139.75,141.279999,3870300,141.279999
9/19/14,142.149994,142.449997,140.300003,140.559998,9412100,140.559998
9/22/14,140.559998,140.729996,139.190002,139.259995,3422400,139.259995
9/23/14,139.179993,139.710007,138.75,138.779999,2767600,138.779999
9/24/14,138.779999,140.070007,138.679993,139.949997,2801200,139.949997
9/25/14,139.889999,139.949997,136.889999,137.089996,4583500,137.089996
9/26/14,137,138.970001,137,138.679993,2872100,138.679993
9/29/14,137.759995,138.699997,137.559998,138.330002,2201800,138.330002
9/30/14,138.479996,138.740005,137.690002,138.139999,3469400,138.139999
10/1/14,138.369995,138.380005,136.190002,136.619995,3697000,136.619995
10/2/14,136.610001,138.139999,136.610001,137.639999,4594800,137.639999
10/3/14,138.410004,139.660004,138.160004,139.5,3940400,139.5
10/6/14,140.25,140.460007,138.630005,139.160004,3464300,139.160004
10/7/14,138.660004,138.839996,136.710007,136.720001,3286500,136.720001
10/8/14,136.75,140.199997,136.600006,139.940002,4842200,139.940002
10/9/14,140.289993,140.289993,137.070007,137.089996,6590100,137.089996
10/10/14,136.899994,139.449997,136.729996,136.759995,4838800,136.759995
10/13/14,136.600006,138.070007,136.309998,136.380005,4383300,136.380005
10/14/14,137,138.899994,136.5,137.389999,5019600,137.389999
10/15/14,136.589996,136.779999,132.029999,135.639999,8593900,135.639999
10/16/14,133.029999,135.649994,132.100006,134.699997,5038100,134.699997
10/17/14,136.059998,137.669998,135.520004,137.089996,5182900,137.089996
10/20/14,137.070007,137.479996,136.410004,137.229996,3245500,137.229996
10/21/14,138.070007,138.979996,137.350006,138.970001,4183300,138.970001
10/22/14,139.339996,139.479996,137.600006,137.649994,4023100,137.649994
10/23/14,139.199997,139.529999,138.389999,138.679993,3907000,138.679993
10/24/14,138.649994,139.520004,138.369995,139.399994,2924400,139.399994
10/27/14,139.190002,139.649994,138.940002,139.529999,2812200,139.529999
10/28/14,140,140.460007,139.5,140.460007,3885900,140.460007
10/29/14,140.529999,140.679993,138.949997,139.990005,3484000,139.990005
10/30/14,139.410004,139.919998,138.759995,139.539993,3513800,139.539993
10/31/14,140.899994,141.520004,139.360001,140.160004,5712500,140.160004
11/3/14,140.880005,140.910004,139.550003,140.809998,3047900,140.809998
11/4/14,141.059998,142.240005,140.880005,142.179993,3507900,142.179993
11/5/14,143.210007,143.479996,141.850006,142.919998,2874200,142.919998
11/6/14,143.25,143.460007,142.229996,143.289993,2717100,143.289993
11/7/14,143.759995,143.990005,142.869995,143.610001,3235400,143.610001
11/10/14,143.949997,145.070007,143.809998,145.050003,3612200,145.050003
11/11/14,145.460007,145.690002,144.75,144.949997,2904700,144.949997
11/12/14,144.919998,145.75,144.699997,145.520004,3015400,145.520004
11/13/14,145.699997,146.289993,145.529999,146.289993,3056500,146.289993
11/14/14,146.350006,146.479996,145.059998,145.520004,2704300,145.520004
11/17/14,145.529999,145.679993,144.699997,145.369995,2426600,145.369995
11/18/14,145.740005,146.399994,145.289993,145.809998,2636700,145.809998
11/19/14,145.860001,146.080002,145.029999,145.649994,2371400,145.649994
11/20/14,145.139999,145.75,145.039993,145.720001,2049900,145.720001
11/21/14,147.009995,147.149994,146.210007,146.699997,3418700,146.699997
11/24/14,147.110001,147.419998,146.699997,147.270004,3752100,147.270004
11/25/14,147.5,148.009995,147.380005,147.809998,3749500,147.809998
11/26/14,148.110001,148.309998,147.929993,148.190002,2114400,148.190002
11/28/14,148.550003,149.490005,148.369995,148.690002,2282000,148.690002
12/1/14,148.610001,149.940002,148.179993,148.520004,3320300,148.520004
12/2/14,149.279999,150,148.660004,149.869995,3181400,149.869995
12/3/14,150.149994,150.490005,149.509995,149.729996,3004100,149.729996
12/4/14,149.960007,150.149994,149.229996,150.050003,2418500,150.050003
12/5/14,150.380005,150.679993,150.100006,150.679993,2780300,150.679993
12/8/14,150.880005,152.940002,150.649994,151.940002,5263600,151.940002
12/9/14,151.449997,151.449997,148.910004,150.460007,4569600,150.460007
12/10/14,150.360001,151.259995,148.820007,149.080002,6574400,149.080002
12/11/14,149.789993,151.270004,149.5,150.130005,3627500,150.130005
12/12/14,149.309998,149.889999,146.300003,146.460007,5208800,146.460007
12/15/14,147.970001,148.419998,144.75,146.119995,4727900,146.119995
12/16/14,145.369995,148.729996,145,145.279999,5020600,145.279999
12/17/14,145.759995,148.630005,145.529999,148.449997,4838800,148.449997
12/18/14,151.160004,152.740005,150.149994,152.669998,7867100,152.669998
12/19/14,152.330002,152.660004,150.830002,151.559998,9392900,151.559998
12/22/14,151.979996,152.550003,151.089996,151.899994,5938500,151.899994
12/23/14,152.190002,152.699997,151.679993,151.75,3472800,151.75
12/24/14,152.429993,152.440002,151.520004,151.539993,1612200,151.539993
12/26/14,151.660004,152.130005,151.25,151.350006,1934800,151.350006
12/29/14,151.020004,152.259995,151.020004,152.050003,3223400,152.050003
12/30/14,151.350006,152.220001,151.190002,152.089996,2108900,152.089996
12/31/14,152.199997,152.669998,150.149994,150.149994,3324800,150.149994
1/2/15,151.5,151.600006,148.5,149.169998,3436400,149.169998
1/5/15,148.809998,149,146.779999,147,4168800,147
1/6/15,147.639999,148.529999,146.110001,146.839996,4116100,146.839996
1/7/15,147.940002,149.139999,147.649994,148.880005,4159100,148.880005
1/8/15,150.600006,151.369995,150.509995,151.369995,4282100,151.369995
1/9/15,151.649994,151.690002,149.259995,149.470001,3360200,149.470001
1/12/15,149.960007,150.119995,147.949997,148.279999,5919400,148.279999
1/13/15,149.949997,150.990005,147.770004,148.630005,3908100,148.630005
1/14/15,147.270004,148.369995,146.419998,147.820007,4802000,147.820007
1/15/15,148.529999,148.529999,146.800003,147.580002,2892200,147.580002
1/16/15,147.199997,149.259995,146.559998,149.210007,4313800,149.210007
1/20/15,150.279999,150.600006,148.080002,148.630005,4053300,148.630005
1/21/15,148.339996,148.429993,146.589996,147.179993,4660700,147.179993
1/22/15,148.009995,150.210007,147.259995,150.149994,5892000,150.149994
1/23/15,149.990005,150,149.089996,149.119995,3175800,149.119995
1/26/15,149.190002,149.729996,148.160004,149.699997,2461400,149.699997
1/27/15,148.25,148.800003,147.550003,147.649994,3220300,147.649994
1/28/15,148.360001,148.770004,144.770004,144.779999,6388800,144.779999
1/29/15,145.399994,146.940002,144.25,146.289993,4461200,146.289993
1/30/15,145.570007,146.199997,143.889999,143.910004,6242300,143.910004
2/2/15,144.130005,146.75,143.300003,146.729996,5119500,146.729996
2/3/15,147.75,148.479996,146.860001,148.289993,4981700,148.289993
2/4/15,148.259995,148.5,147.100006,147.529999,3574200,147.529999
2/5/15,147.889999,149.880005,147.75,149.669998,3084500,149.669998
2/6/15,149.800003,151.630005,149.550003,150.179993,4050600,150.179993
2/9/15,149.910004,149.970001,148.720001,149.130005,2429700,149.130005
2/10/15,149.660004,150.509995,148.899994,149.919998,2975500,149.919998
2/11/15,149.839996,150.270004,148.800003,149.679993,2732200,149.679993
2/12/15,150,150.410004,149.360001,149.789993,3608600,149.789993
2/13/15,149.600006,149.600006,148.009995,148.339996,3669400,148.339996
2/17/15,148.360001,149.369995,148.160004,149.169998,2737300,149.169998
2/18/15,148.779999,149.130005,148.220001,148.669998,2219900,148.669998
2/19/15,148.210007,148.350006,147.089996,147.479996,2757800,147.479996
2/20/15,147.270004,148.720001,146.580002,148.720001,4877600,148.720001
2/23/15,148.199997,148.449997,146.820007,147.369995,3775500,147.369995
2/24/15,147.5,149.360001,147.25,148.949997,2914700,148.949997
2/25/15,149.389999,149.389999,148.470001,148.779999,2671900,148.779999
2/26/15,148.550003,148.970001,147.899994,148.339996,2549800,148.339996
2/27/15,148.220001,148.320007,147.050003,147.410004,3377400,147.410004
3/2/15,147.710007,147.979996,145.889999,147.080002,4896700,147.080002
3/3/15,146.789993,146.940002,145.059998,145.929993,3969600,145.929993
3/4/15,145.199997,145.509995,144.070007,144.919998,3250100,144.919998
3/5/15,145.410004,146.25,144.830002,146.059998,2711700,146.059998
3/6/15,146.139999,147.479996,145.100006,145.279999,4099400,145.279999
3/9/15,145.5,146.529999,145.25,146.130005,2608800,146.130005
3/10/15,145.419998,145.440002,143.179993,143.190002,5258200,143.190002
3/11/15,143.479996,144.240005,143.240005,143.440002,2893800,143.440002
3/12/15,144.339996,145.729996,144.009995,145.669998,3539600,145.669998
3/13/15,145.279999,145.5,143.270004,143.970001,3320700,143.970001
3/16/15,144.919998,146.070007,144.779999,145.979996,3858600,145.979996
3/17/15,145.089996,145.470001,143.940002,144.75,2580000,144.75
3/18/15,144.559998,146.550003,143.940002,146,3490600,146
3/19/15,145.639999,146,144.449997,144.880005,2633800,144.880005
3/20/15,145.229996,145.820007,144.889999,145.529999,5858700,145.529999
3/23/15,145.479996,146.289993,145.020004,145.559998,3046900,145.559998
3/24/15,145.259995,145.460007,144.240005,144.289993,2764500,144.289993
3/25/15,144.679993,144.929993,143.559998,143.559998,3993400,143.559998
3/26/15,142.699997,143.710007,142.5,143.029999,3549800,143.029999
3/27/15,143.479996,143.910004,142.899994,143.889999,3480700,143.889999
3/30/15,144.470001,146.119995,144.149994,145.979996,3348900,145.979996
3/31/15,145.759995,145.770004,144.259995,144.320007,3600200,144.320007
4/1/15,144.339996,144.630005,143.389999,143.449997,3693600,143.449997
4/2/15,143.589996,143.899994,143.149994,143.559998,2336100,143.559998
4/6/15,143,144.449997,142.570007,143.759995,2446900,143.759995
4/7/15,143.559998,144.020004,143,143.059998,2760900,143.059998
4/8/15,143.100006,143.779999,142.820007,143.279999,4775700,143.279999
4/9/15,143.020004,143.699997,142.779999,143.649994,2821000,143.649994
4/10/15,143.419998,143.75,143.020004,143.5,2353800,143.5
4/13/15,143.279999,143.949997,143,143.460007,2149500,143.460007
4/14/15,143.649994,143.770004,142.119995,142.75,2929700,142.75
4/15/15,142.729996,143.479996,142.580002,142.710007,2620700,142.710007
4/16/15,142.5,142.800003,141.699997,142.100006,2693100,142.100006
4/17/15,141.199997,141.539993,140.330002,140.699997,4613700,140.699997
4/20/15,141.690002,142.410004,141.509995,142.089996,2669600,142.089996
4/21/15,142.399994,142.470001,141.119995,141.139999,3008200,141.139999
4/22/15,141.410004,142.220001,141.089996,141.990005,2629400,141.990005
4/23/15,141.949997,143.020004,141.630005,142.429993,2630700,142.429993
4/24/15,142,142.550003,141.75,142.089996,2255500,142.089996
4/27/15,142.279999,142.360001,140.869995,141.089996,3210600,141.089996
4/28/15,140.809998,142.630005,140.589996,142.520004,2564700,142.520004
4/29/15,141.630005,142.759995,141.570007,142.410004,3127000,142.410004
4/30/15,141.779999,142.570007,140.929993,141.210007,3554600,141.210007
5/1/15,142,143.360001,141.789993,143.360001,2797900,143.360001
5/4/15,144.949997,146.330002,144,146.149994,4229400,146.149994
5/5/15,145.910004,146.419998,144.509995,144.559998,2993500,144.559998
5/6/15,145,145.440002,142.940002,143.779999,3320500,143.779999
5/7/15,143.410004,145.520004,143.360001,145.309998,3314300,145.309998
5/8/15,146.559998,148.419998,146.399994,148.309998,5277900,148.309998
5/11/15,148.5,148.570007,146,146.169998,3814700,146.169998
5/12/15,145.350006,145.389999,144.029999,144.789993,2823200,144.789993
5/13/15,144.160004,144.729996,144.020004,144.259995,2621700,144.259995
5/14/15,145.220001,145.830002,144.520004,145.779999,2326400,145.779999
5/15/15,145.929993,146.089996,144.649994,145.259995,2423500,145.259995
5/18/15,145.389999,145.899994,145.039993,145.830002,2266200,145.830002
5/19/15,145.830002,147,145.259995,146.539993,2635700,146.539993
5/20/15,146.410004,146.440002,145.639999,145.940002,2239100,145.940002
5/21/15,145.600006,145.929993,145.160004,145.270004,2293900,145.270004
5/22/15,145.100006,145.270004,144.529999,144.600006,2188300,144.600006
5/26/15,144.440002,144.910004,143.559998,143.630005,3299400,143.630005
5/27/15,143.710007,145.149994,143.580002,144.75,2275400,144.75
5/28/15,144.929993,145.100006,144.009995,144.740005,2300000,144.740005
5/29/15,144.869995,144.990005,143,143,3641100,143
6/1/15,143.259995,144.070007,143.059998,143.350006,2579400,143.350006
6/2/15,143.199997,143.350006,142.279999,143.029999,2737900,143.029999
6/3/15,143.429993,143.729996,142.559998,143.190002,2260800,143.190002
6/4/15,142.570007,142.899994,141.229996,141.369995,3369100,141.369995
6/5/15,141.509995,141.809998,140.520004,140.759995,3343900,140.759995
6/8/15,140.429993,140.699997,139.520004,139.520004,2998600,139.520004
6/9/15,139.210007,140.389999,139.139999,139.630005,2612800,139.630005
6/10/15,140,141.5,139.679993,140.860001,3156700,140.860001
6/11/15,141.429993,141.610001,140.600006,141.360001,2436000,141.360001
6/12/15,141.119995,141.149994,139.779999,140.289993,2768400,140.289993
6/15/15,139.720001,139.960007,138.779999,139.399994,2859500,139.399994
6/16/15,139.470001,139.729996,138.919998,139.710007,2369900,139.710007
6/17/15,139.850006,140.559998,139.160004,139.970001,2280200,139.970001
6/18/15,140.25,142.809998,140.199997,142.669998,4583700,142.669998
6/19/15,142.179993,142.960007,140.960007,140.960007,6044000,140.960007
6/22/15,142,142.539993,141.110001,141.529999,2339300,141.529999
6/23/15,141.619995,142.149994,140.949997,141.330002,1974500,141.330002
6/24/15,140.75,141.410004,140.089996,140.089996,2709400,140.089996
6/25/15,140.059998,140.649994,139.449997,139.449997,2616700,139.449997
6/26/15,139.919998,140.160004,139.119995,139.779999,4480200,139.779999
6/29/15,139,139.240005,136.419998,136.509995,6703700,136.509995
6/30/15,137.520004,137.800003,136.080002,136.110001,5160300,136.110001
7/1/15,137.699997,138.300003,136.740005,137.520004,3244900,137.520004
7/2/15,137.899994,138.160004,137.059998,137.389999,2823700,137.389999
7/6/15,136.130005,137.419998,136.039993,136.889999,2962100,136.889999
7/7/15,137.300003,138.649994,136.039993,138.440002,4642300,138.440002
7/8/15,137.550003,137.960007,136.75,136.899994,3642300,136.899994
7/9/15,138.009995,138.839996,137.940002,138.25,3570300,138.25
7/10/15,139.509995,140.300003,138.960007,139.729996,3774900,139.729996
7/13/15,140.800003,141.490005,140.449997,141.389999,3139800,141.389999
7/14/15,141.139999,141.639999,140.919998,141.119995,2415200,141.119995
7/15/15,141.369995,142.639999,141.199997,142.610001,2995300,142.610001
7/16/15,143.149994,143.919998,143,143.919998,3179600,143.919998
7/17/15,143.720001,144,143.440002,143.880005,2982900,143.880005
7/20/15,143.960007,144.690002,143.710007,144.509995,2467500,144.509995
7/21/15,144.229996,144.600006,143.080002,143.600006,3116500,143.600006
7/22/15,143.550003,144,143.059998,143.520004,2578000,143.520004
7/23/15,143.270004,143.410004,142.059998,142.179993,2322700,142.179993
7/24/15,142,142.360001,141.190002,141.25,2363300,141.25
7/27/15,141.139999,141.369995,140.419998,140.720001,2903600,140.720001
7/28/15,141.589996,143.589996,141.130005,143.220001,3252700,143.220001
7/29/15,143.25,143.690002,142.610001,142.919998,2555800,142.919998
7/30/15,142.809998,143.059998,142.110001,142.850006,2018300,142.850006
7/31/15,143.309998,143.75,142.600006,142.740005,3074100,142.740005
8/3/15,143.110001,143.320007,140.919998,142.330002,2540700,142.330002
8/4/15,142.220001,143.059998,142.009995,142.679993,2618000,142.679993
8/5/15,143.320007,143.990005,143.220001,143.5,2615800,143.5
8/6/15,143.5,143.839996,143,143.350006,2418200,143.350006
8/7/15,142.860001,143.699997,142.300003,143.550003,2419000,143.550003
8/10/15,141.369995,143.580002,141.309998,143.419998,4278300,143.419998
8/11/15,141.830002,143.070007,141.610001,142.800003,3924400,142.800003
8/12/15,141.910004,142.149994,140.460007,141.600006,4901200,141.600006
8/13/15,141.309998,142.610001,140.990005,141.949997,3045200,141.949997
8/14/15,142.050003,142.75,141.990005,142.570007,2911200,142.570007
8/17/15,142,142.460007,141.309998,142.320007,2788100,142.320007
8/18/15,142.289993,142.300003,141.020004,141.360001,3334100,141.360001
8/19/15,141,141.710007,139.75,140.470001,3470200,140.470001
8/20/15,139.199997,140,138.350006,138.389999,4050800,138.389999
8/21/15,137.229996,138,134.160004,134.220001,9122400,134.220001
8/24/15,127.550003,133.970001,125.5,129.570007,13820800,129.570007
8/25/15,134.479996,134.550003,127.459999,127.739998,8233100,127.739998
8/26/15,130.889999,132.880005,128.690002,132.610001,7709300,132.610001
8/27/15,134.399994,136.309998,133.220001,136.229996,5923000,136.229996
8/28/15,135.529999,136,134.729996,135.740005,3897800,135.740005
8/31/15,135.089996,135.5,133.419998,134.039993,5575500,134.039993
9/1/15,131.789993,132.270004,129.830002,130.410004,5957900,130.410004
9/2/15,131.410004,132.220001,130.759995,132.220001,4080300,132.220001
9/3/15,132.710007,133.619995,131.690002,132.149994,3984400,132.149994
9/4/15,130.820007,131.080002,128.910004,129.639999,5828600,129.639999
9/8/15,132.020004,133.070007,131.169998,132.899994,5729300,132.899994
9/9/15,134.5,134.660004,130.300003,130.589996,4482600,130.589996
9/10/15,130.229996,131.789993,130.199997,130.660004,4482400,130.660004
9/11/15,130.880005,131.550003,130.25,131.369995,4181800,131.369995
9/14/15,131.149994,131.690002,130.539993,130.899994,4270000,130.899994
9/15/15,131,132.649994,130.759995,132.259995,3189600,132.259995
9/16/15,132.259995,132.850006,132.020004,132.580002,3041500,132.580002
9/17/15,132.289993,133.600006,131.270004,131.470001,4414500,131.470001
9/18/15,130.070007,130.960007,128.940002,129.100006,14622800,129.100006
9/21/15,130,131.309998,129.720001,130.979996,4804900,130.979996
9/22/15,129.559998,129.690002,128.360001,129.300003,4230800,129.300003
9/23/15,129.309998,129.490005,128.309998,129.160004,2947800,129.160004
